                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5279,                 1.5654,                 1.2861,                0.49629,                0.52671,                0.47969,                0.26068,                  1.493,                 1.6804,                 1.3081,             0.00055376,             0.00055376,             0.00055376
                      2,                 1.4989,                 1.3916,                 1.2805,                0.57013,                0.59568,                0.55964,                0.29969,                 1.5171,                  1.715,                 1.3076,              0.0010875,              0.0010875,              0.0010875
                      3,                 1.4923,                 1.3762,                 1.2806,                0.58452,                0.60265,                0.57964,                0.31994,                 1.5064,                  1.642,                 1.2861,              0.0015992,              0.0015992,              0.0015992
                      4,                  1.451,                 1.3263,                  1.252,                0.62026,                0.60807,                0.61379,                0.35141,                 1.4215,                 1.4068,                 1.2338,               0.001568,               0.001568,               0.001568
                      5,                 1.4132,                   1.28,                 1.2263,                0.65337,                0.64027,                0.65989,                0.38577,                 1.3837,                 1.5064,                 1.2216,               0.001535,               0.001535,               0.001535
                      6,                 1.3904,                 1.2394,                 1.2128,                0.67232,                0.65351,                0.67812,                0.40811,                 1.3445,                 1.3089,                 1.2292,               0.001502,               0.001502,               0.001502
                      7,                 1.3734,                 1.2151,                 1.2011,                 0.6826,                0.67874,                 0.7056,                0.42078,                  1.298,                 1.2338,                 1.1765,               0.001469,               0.001469,               0.001469
                      8,                 1.3523,                 1.1969,                 1.1986,                0.70827,                0.65745,                0.70597,                0.43664,                 1.2934,                 1.1953,                 1.1852,               0.001436,               0.001436,               0.001436
                      9,                   1.32,                 1.1466,                 1.1783,                0.70438,                0.66512,                0.70761,                0.43926,                 1.2647,                 1.2335,                  1.166,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3153,                 1.1413,                 1.1679,                0.72492,                0.69299,                0.74407,                0.46771,                 1.2526,                 1.1066,                 1.1429,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3066,                 1.1195,                 1.1677,                0.73605,                0.68906,                0.74469,                0.46107,                 1.2334,                 1.1256,                 1.1508,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2836,                 1.0917,                 1.1533,                0.74014,                0.68695,                0.74966,                0.46506,                 1.2689,                 1.1126,                 1.1611,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2844,                  1.078,                 1.1508,                0.73955,                0.68777,                0.73717,                0.46198,                 1.2496,                 1.1191,                 1.1468,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2725,                 1.0654,                 1.1515,                0.75789,                0.70437,                0.76886,                0.49449,                 1.2113,                 1.0322,                 1.1292,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2504,                 1.0442,                 1.1376,                0.71816,                0.72965,                0.75796,                0.48686,                 1.2019,                 1.0669,                   1.13,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2412,                 1.0193,                 1.1285,                0.74104,                0.74013,                0.77871,                0.50776,                 1.1743,                 1.0133,                 1.1031,              0.0011719,              0.0011719,              0.0011719
                     17,                   1.23,                  1.015,                 1.1247,                0.74508,                   0.71,                0.76288,                0.49804,                 1.1886,                 1.0368,                 1.1125,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2302,                 1.0057,                 1.1224,                0.76169,                 0.7059,                0.76971,                0.49646,                 1.1932,                 1.0263,                 1.1131,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2133,                0.98204,                 1.1177,                0.75148,                0.74129,                0.79094,                0.51458,                 1.1715,                0.98655,                 1.0977,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2131,                0.98254,                 1.1138,                0.76283,                0.74594,                0.79477,                0.52052,                 1.1668,                0.97128,                 1.0969,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.2014,                0.96225,                 1.1072,                0.76843,                0.74779,                0.79575,                0.51908,                 1.1833,                0.95043,                 1.1079,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.1965,                0.94165,                 1.1043,                0.77414,                 0.7464,                 0.7995,                 0.5262,                 1.1579,                0.95952,                 1.0947,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.1945,                0.94102,                 1.1042,                0.76122,                0.76109,                 0.7961,                0.51914,                 1.1637,                0.98297,                 1.0981,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.1865,                0.93234,                 1.1012,                0.79425,                0.75307,                0.81751,                0.54324,                 1.1527,                0.92375,                 1.0837,             0.00090785,             0.00090785,             0.00090785
                     25,                  1.173,                0.91216,                 1.0911,                0.74716,                0.73363,                0.77904,                0.49626,                 1.2203,                 1.0179,                  1.116,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1614,                0.90745,                 1.0882,                0.76025,                0.76808,                 0.8007,                0.53495,                 1.1391,                0.94461,                 1.0774,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.1587,                0.89231,                  1.082,                0.77946,                0.77589,                0.82045,                0.54871,                 1.1206,                0.89464,                 1.0769,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.1457,                  0.881,                 1.0763,                0.79289,                0.77795,                0.82738,                0.55645,                 1.1185,                0.87019,                 1.0734,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.1437,                0.87117,                 1.0773,                0.79052,                0.77195,                0.82262,                0.54863,                 1.1364,                0.90094,                 1.0779,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.1374,                0.86044,                 1.0763,                 0.7901,                  0.785,                0.83075,                0.56499,                 1.1025,                0.86809,                 1.0579,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.1282,                0.84823,                 1.0699,                0.79865,                 0.7839,                0.83121,                0.56455,                 1.1082,                0.86022,                 1.0727,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.1191,                0.83492,                 1.0636,                0.79849,                0.78611,                0.83071,                0.56754,                  1.097,                0.84543,                 1.0653,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.1122,                0.82499,                 1.0609,                0.82231,                0.78054,                 0.8454,                0.58046,                  1.092,                 0.8234,                  1.054,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.1002,                0.81075,                 1.0537,                0.81823,                0.80705,                0.84779,                0.58193,                 1.0748,                0.81104,                 1.0484,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0974,                0.80184,                 1.0506,                0.81539,                0.79907,                0.84982,                0.58635,                 1.0808,                0.80391,                 1.0458,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0862,                0.78707,                 1.0488,                0.82659,                 0.8081,                0.86274,                0.59535,                 1.0713,                0.78043,                 1.0418,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.0791,                0.77554,                 1.0464,                0.81437,                0.80748,                0.84994,                0.58036,                 1.1007,                 0.8057,                 1.0579,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0713,                0.76629,                 1.0437,                 0.8329,                 0.8105,                0.86191,                0.59987,                 1.0638,                0.76155,                 1.0456,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.0618,                0.75674,                 1.0369,                0.84098,                0.81189,                0.86008,                0.60052,                 1.0594,                0.76675,                 1.0344,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0581,                0.74646,                 1.0352,                0.82745,                0.82164,                0.86305,                0.60382,                  1.052,                0.75496,                 1.0331,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0227,                 0.7044,                  1.014,                0.83953,                 0.8189,                0.86994,                0.60858,                 1.0541,                0.75884,                 1.0374,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0167,                0.68829,                 1.0138,                 0.8444,                0.82425,                0.87017,                0.61524,                 1.0433,                0.72813,                 1.0354,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.9974,                0.66889,                 1.0055,                0.85937,                0.81746,                0.88222,                 0.6259,                 1.0293,                0.72291,                 1.0292,             0.00028072,             0.00028072,             0.00028072
                     44,                0.99627,                0.65794,                 1.0067,                0.84963,                0.83191,                0.88304,                0.63073,                 1.0216,                0.71412,                 1.0241,             0.00024772,             0.00024772,             0.00024772
                     45,                0.98267,                0.64295,                 1.0015,                0.86383,                0.82281,                0.88278,                0.63127,                 1.0282,                0.70552,                 1.0243,             0.00021471,             0.00021471,             0.00021471
                     46,                0.97375,                0.63124,                 0.9965,                0.86524,                0.82722,                0.88659,                 0.6356,                 1.0184,                0.70641,                 1.0225,              0.0001817,              0.0001817,              0.0001817
                     47,                0.96128,                0.62013,                0.99156,                0.87128,                0.82745,                0.88763,                0.63571,                 1.0214,                0.69227,                 1.0211,              0.0001487,              0.0001487,              0.0001487
                     48,                0.95284,                0.61256,                0.98735,                0.87113,                0.82861,                0.88815,                0.63791,                 1.0052,                0.68455,                 1.0187,             0.00011569,             0.00011569,             0.00011569
                     49,                0.94424,                0.60265,                0.98393,                 0.8702,                0.83558,                0.89065,                0.64162,                 1.0052,                0.67501,                  1.019,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.93014,                0.59438,                0.98031,                 0.8783,                0.82459,                0.89311,                0.64347,                 1.0041,                0.67531,                 1.0156,             4.9677e-05,             4.9677e-05,             4.9677e-05
